Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Line.LINE216, 1.77414E-009,   138.99, 3.68138E-010,    18.43, 3.05576E-009,  -107.74,          0,     0.00, 2.51912E-009,  -139.69, 1.77414E-009,   -41.01, 3.68138E-010,  -161.57, 3.05576E-009,    72.26,          0,     0.00, 2.51912E-009,    40.31
Line.LINE217,    208.321,   -79.06,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    77.4215,    24.39,    208.321,   100.94,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    77.4215,  -155.61
Line.LINE218, 1.0733E-009,   167.47, 7.36275E-010,    71.57, 2.98169E-009,  -128.66,          0,     0.00, 3.02007E-009,  -152.45, 1.0733E-009,   -12.53, 7.36275E-010,  -108.43, 2.98169E-009,    51.34,          0,     0.00, 3.02007E-009,    27.55
Line.LINE219,    208.321,   -79.06,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    77.4215,    24.39,    208.321,   100.94,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    77.4215,  -155.61
Line.LINE220, 5.20625E-010,  -153.43, 1.39698E-009,     0.00, 2.98169E-009,  -141.34,          0,     0.00, 2.51845E-009,  -123.69, 5.20625E-010,    26.57, 1.39698E-009,   180.00, 2.98169E-009,    38.66,          0,     0.00, 2.51845E-009,    56.31
Line.LINE221,    208.321,   -79.06,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    77.4215,    24.39,    208.321,   100.94,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    77.4215,  -155.61
Line.LINE222, 9.31323E-010,   180.00, 3.49246E-009,     0.00, 1.04125E-009,  -116.57,          0,     0.00, 2.29312E-009,   -23.96, 9.31323E-010,     0.00, 3.49246E-009,   180.00, 1.04125E-009,    63.43,          0,     0.00, 2.29312E-009,   156.04
Line.LINE223,    208.321,   -79.06,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    77.4215,    24.39,    208.321,   100.94,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    77.4215,  -155.61
Line.LINE224, 9.59985E-010,   -75.96, 8.47516E-010,  -164.05, 1.04125E-009,   -26.57,          0,     0.00, 1.66681E-009,   -77.91, 9.59985E-010,   104.04, 8.47516E-010,    15.95, 1.04125E-009,   153.43,          0,     0.00, 1.66681E-009,   102.09
Line.LINE225,    208.321,   -79.06,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    77.4215,    24.39,    208.321,   100.94,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    77.4215,  -155.61
Line.LINE226, 3.39406E-010,   149.04, 2.39996E-010,    14.04, 1.16415E-010,   180.00,          0,     0.00, 2.91038E-010,   126.87, 3.39406E-010,   -30.96, 2.39996E-010,  -165.96, 1.16415E-010,     0.00,          0,     0.00, 2.91038E-010,   -53.13
Line.LINE227,    208.321,   -79.06,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    77.4215,    24.39,    208.321,   100.94,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    77.4215,  -155.61
Line.LINE228, 1.56729E-010,  -111.80, 7.46672E-011,   145.92, 5.24677E-011,   123.69,          0,     0.00, 1.60783E-010,  -158.08, 1.56729E-010,    68.20, 7.46672E-011,   -34.08, 5.24677E-011,   -56.31,          0,     0.00, 1.60783E-010,    21.92
Line.LINE229,    208.321,   -79.06,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    77.4215,    24.39,    208.321,   100.94,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    77.4215,  -155.61
Line.LINE230, 1.30156E-010,  -153.43, 1.64636E-010,    45.00, 2.60313E-010,   -63.43,          0,     0.00, 2.09871E-010,   -56.31, 1.30156E-010,    26.57, 1.64636E-010,  -135.00, 2.60313E-010,   116.57,          0,     0.00, 2.09871E-010,   123.69
Line.LINE231,    208.321,   -79.06,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    77.4215,    24.39,    208.321,   100.94,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    77.4215,  -155.61
Line.LINE232,    208.321,   -79.06,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    77.4215,    24.39,    208.321,   100.94,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    77.4215,  -155.61
Line.LINE233,    208.321,   -79.06,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    77.4215,    24.39,    208.321,   100.94,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    77.4215,  -155.61
Line.LINE234,    208.321,   -79.06,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    77.4215,    24.39,    208.321,   100.94,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    77.4215,  -155.61
Line.LINE235,    208.321,   -79.06,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    77.4215,    24.39,    208.321,   100.94,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    77.4215,  -155.61
Line.LINE236,    208.321,   -79.06,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    77.4215,    24.39,    208.321,   100.94,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    77.4215,  -155.61
Line.LINE237,    208.321,   -79.06,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    77.4215,    24.39,    208.321,   100.94,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    77.4215,  -155.61
Line.LINE238,    208.321,   -79.06,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    77.4215,    24.39,    208.321,   100.94,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    77.4215,  -155.61
Line.LINE239,    208.321,   -79.06,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    77.4215,    24.39,    208.321,   100.94,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    77.4215,  -155.61
Line.LINE240, 1.48401E-010,   101.31, 9.20344E-011,   161.57, 1.64636E-010,   -45.00,          0,     0.00, 5.82077E-011,    90.00, 1.48401E-010,   -78.69, 9.20344E-011,   -18.43, 1.64636E-010,   135.00,          0,     0.00, 5.82077E-011,   -90.00
Line.LINE241,    208.321,   -79.06,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    77.4215,    24.39,    208.321,   100.94,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    77.4215,  -155.61
Line.LINE242,    208.321,   -79.06,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    77.4215,    24.39,    208.321,   100.94,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    77.4215,  -155.61
Line.LINE243,    208.321,   -79.06,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    77.4215,    24.39,    208.321,   100.94,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    77.4215,  -155.61
Line.LINE244,    208.321,   -79.06,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    77.4215,    24.39,    208.321,   100.94,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    77.4215,  -155.61
Line.LINE245,    208.321,   -79.06,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    77.4215,    24.39,    208.321,   100.94,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    77.4215,  -155.61
Line.LINE246,    208.321,   -79.06,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    77.4215,    24.39,    208.321,   100.94,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    77.4215,  -155.61
Line.LINE247,    208.321,   -79.06,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    77.4215,    24.39,    208.321,   100.94,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    77.4215,  -155.61
Line.LINE248,    208.321,   -79.06,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    77.4215,    24.39,    208.321,   100.94,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    77.4215,  -155.61
Line.LINE249,    208.321,   -79.06,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    77.4215,    24.39,    208.321,   100.94,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    77.4215,  -155.61
Line.LINE250,    208.321,   -79.06,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    77.4215,    24.39,    208.321,   100.94,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    77.4215,  -155.61
Line.LINE251,    208.321,   -79.06,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    77.4215,    24.39,    208.321,   100.94,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    77.4215,  -155.61
Line.LINE252,    208.321,   -79.06,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    77.4215,    24.39,    208.321,   100.94,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    77.4215,  -155.61
Line.LINE253,    208.321,   -79.06,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    77.4215,    24.39,    208.321,   100.94,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    77.4215,  -155.61
Line.LINE254,    208.321,   -79.06,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    77.4215,    24.39,    208.321,   100.94,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    77.4215,  -155.61
Line.LINE255,    208.321,   -79.06,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    77.4215,    24.39,    208.321,   100.94,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    77.4215,  -155.61
Line.LINE256,    208.321,   -79.06,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    77.4215,    24.39,    208.321,   100.94,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    77.4215,  -155.61
Line.LINE257,    208.321,   -79.06,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    77.4215,    24.39,    208.321,   100.94,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    77.4215,  -155.61
Line.LINE258,    208.321,   -79.06,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    77.4215,    24.39,    208.321,   100.94,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    77.4215,  -155.61
Line.LINE259,    208.321,   -79.06,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    77.4215,    24.39,    208.321,   100.94,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    77.4215,  -155.61
Line.LINE260,    208.321,   -79.06,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    77.4215,    24.39,    208.321,   100.94,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    77.4215,  -155.61
Line.LINE261,    208.321,   -79.06,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    77.4215,    24.39,    208.321,   100.94,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    77.4215,  -155.61
Line.LINE262,    208.321,   -79.06,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    77.4215,    24.39,    208.321,   100.94,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    77.4215,  -155.61
Line.LINE263,    208.321,   -79.06,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    77.4215,    24.39,    208.321,   100.94,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    77.4215,  -155.61
Line.LINE264,    208.321,   -79.06,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    77.4215,    24.39,    208.321,   100.94,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    77.4215,  -155.61
Line.LINE265,    35.6506,   -78.80, 6.43794E-009,   104.66, 3.20707E-008,    63.25,          0,     0.00,    35.6506,   -78.80,    35.6506,   101.20, 6.43794E-009,   -75.34, 3.20707E-008,  -116.75,          0,     0.00,    35.6506,   101.20
Line.LINE266,    172.671,   -79.12,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    92.3296,    46.47,    172.671,   100.88,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    92.3296,  -133.53
Line.LINE267,    35.6506,   -78.80, 7.1195E-009,   113.11, 3.16829E-008,    60.99,          0,     0.00,    35.6506,   -78.80,    35.6506,   101.20, 7.1195E-009,   -66.89, 3.16829E-008,  -119.01,          0,     0.00,    35.6506,   101.20
Line.LINE268, 2.21648E-010,  -113.20, 3.59995E-010,   -14.04, 1.16415E-010,   -90.00,          0,     0.00, 4.84384E-010,   -57.26, 2.21648E-010,    66.80, 3.59995E-010,   165.96, 1.16415E-010,    90.00,          0,     0.00, 4.84384E-010,   122.74
Line.LINE269,    172.671,   -79.12,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    92.3296,    46.47,    172.671,   100.88,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    92.3296,  -133.53
Line.LINE270,    35.6506,   -78.80, 7.25357E-009,   112.66, 3.12418E-008,    62.48,          0,     0.00,    35.6506,   -78.80,    35.6506,   101.20, 7.25357E-009,   -67.34, 3.12418E-008,  -117.52,          0,     0.00,    35.6506,   101.20
Line.LINE271, 2.05795E-010,   -81.87, 1.16415E-010,    90.00, 1.16415E-010,    90.00,          0,     0.00, 4.1159E-011,    45.00, 2.05795E-010,    98.13, 1.16415E-010,   -90.00, 1.16415E-010,   -90.00,          0,     0.00, 4.1159E-011,  -135.00
Line.LINE272,    172.671,   -79.12,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    92.3296,    46.47,    172.671,   100.88,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    92.3296,  -133.53
Line.LINE273,    35.6506,   -78.80, 7.17308E-009,   112.92, 3.13916E-008,    60.20,          0,     0.00,    35.6506,   -78.80,    35.6506,   101.20, 7.17308E-009,   -67.08, 3.13916E-008,  -119.80,          0,     0.00,    35.6506,   101.20
Line.LINE274, 2.91038E-011,    90.00, 3.54063E-010,    -9.46, 2.32831E-010,   180.00,          0,     0.00, 1.19998E-010,   -14.04, 2.91038E-011,   -90.00, 3.54063E-010,   170.54, 2.32831E-010,     0.00,          0,     0.00, 1.19998E-010,   165.96
Line.LINE275,    172.671,   -79.12,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    92.3296,    46.47,    172.671,   100.88,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    92.3296,  -133.53
Line.LINE276,    35.6506,   -78.80, 7.20841E-009,   109.82, 3.0112E-008,    61.35,          0,     0.00,    35.6506,   -78.80,    35.6506,   101.20, 7.20841E-009,   -70.18, 3.0112E-008,  -118.65,          0,     0.00,    35.6506,   101.20
Line.LINE277, 3.90469E-010,    63.43, 9.20344E-011,   -71.57, 1.16415E-010,   -90.00,          0,     0.00, 2.50361E-010,    35.54, 3.90469E-010,  -116.57, 9.20344E-011,   108.43, 1.16415E-010,    90.00,          0,     0.00, 2.50361E-010,  -144.46
Line.LINE278,    172.671,   -79.12,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    92.3296,    46.47,    172.671,   100.88,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    92.3296,  -133.53
Line.LINE279,    35.6506,   -78.80, 7.10157E-009,   112.15, 3.02142E-008,    61.46,          0,     0.00,    35.6506,   -78.80,    35.6506,   101.20, 7.10157E-009,   -67.85, 3.02142E-008,  -118.54,          0,     0.00,    35.6506,   101.20
Line.LINE280, 5.82077E-011,    90.00, 5.82077E-011,   180.00, 1.16415E-010,   180.00,          0,     0.00, 1.84069E-010,   161.57, 5.82077E-011,   -90.00, 5.82077E-011,     0.00, 1.16415E-010,     0.00,          0,     0.00, 1.84069E-010,   -18.43
Line.LINE281,    172.671,   -79.12,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    92.3296,    46.47,    172.671,   100.88,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    92.3296,  -133.53
Line.LINE282,    35.6506,   -78.80, 6.56612E-009,   114.07, 2.93782E-008,    61.61,          0,     0.00,    35.6506,   -78.80,    35.6506,   101.20, 6.56612E-009,   -65.93, 2.93782E-008,  -118.39,          0,     0.00,    35.6506,   101.20
Line.LINE283,    172.671,   -79.12,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    92.3296,    46.47,    172.671,   100.88,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    92.3296,  -133.53
Line.LINE284,    35.6506,   -78.80, 7.36114E-009,   112.31, 3.02007E-008,    62.45,          0,     0.00,    35.6506,   -78.80,    35.6506,   101.20, 7.36114E-009,   -67.69, 3.02007E-008,  -117.55,          0,     0.00,    35.6506,   101.20
Line.LINE285,    172.671,   -79.12,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    92.3296,    46.47,    172.671,   100.88,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    92.3296,  -133.53
Line.LINE286,    35.6506,   -78.80, 6.84775E-009,   107.82, 3.12418E-008,    62.48,          0,     0.00,    35.6506,   -78.80,    35.6506,   101.20, 6.84775E-009,   -72.18, 3.12418E-008,  -117.52,          0,     0.00,    35.6506,   101.20
Line.LINE287, 1.56729E-010,   -68.20, 2.91038E-011,   180.00,          0,     0.00,          0,     0.00, 1.48401E-010,   -78.69, 1.56729E-010,   111.80, 2.91038E-011,     0.00,          0,     0.00,          0,     0.00, 1.48401E-010,   101.31
Line.LINE288,    172.671,   -79.12,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    92.3296,    46.47,    172.671,   100.88,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    92.3296,  -133.53
Line.LINE289,    35.6506,   -78.80, 7.45609E-009,   105.39, 3.10355E-008,    62.28,          0,     0.00,    35.6506,   -78.80,    35.6506,   101.20, 7.45609E-009,   -74.61, 3.10355E-008,  -117.72,          0,     0.00,    35.6506,   101.20
Line.LINE290, 4.9562E-010,   -86.63,          0,     0.00, 2.60313E-010,   116.57,          0,     0.00, 2.76103E-010,  -108.43, 4.9562E-010,    93.37,          0,     0.00, 2.60313E-010,   -63.43,          0,     0.00, 2.76103E-010,    71.57
Line.LINE291,    172.671,   -79.12,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    92.3296,    46.47,    172.671,   100.88,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    92.3296,  -133.53
Line.LINE292, 3.72529E-009,   -90.00, 5.30936E-009,   -74.74, 8.39483E-009,    70.56,          0,     0.00, 4.29318E-009,   -12.53, 3.72529E-009,    90.00, 5.30936E-009,   105.26, 8.39483E-009,  -109.44,          0,     0.00, 4.29318E-009,   167.47
Line.LINE293,    35.6506,   -78.80, 1.32235E-008,   110.35, 2.20222E-008,    59.50,          0,     0.00,    35.6506,   -78.80,    35.6506,   101.20, 1.32235E-008,   -69.65, 2.20222E-008,  -120.50,          0,     0.00,    35.6506,   101.20
Line.LINE294, 2.39996E-010,   104.04, 2.60313E-010,  -153.43,          0,     0.00,          0,     0.00, 3.13458E-010,   158.20, 2.39996E-010,   -75.96, 2.60313E-010,    26.57,          0,     0.00,          0,     0.00, 3.13458E-010,   -21.80
Line.LINE295,    172.671,   -79.12,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    92.3296,    46.47,    172.671,   100.88,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    92.3296,  -133.53
Line.LINE296, 3.15183E-009,   -94.24, 4.4069E-009,   -77.80, 7.67988E-009,    75.96,          0,     0.00, 2.56114E-009,     0.00, 3.15183E-009,    85.76, 4.4069E-009,   102.20, 7.67988E-009,  -104.04,          0,     0.00, 2.56114E-009,   180.00
Line.LINE297,    35.6506,   -78.80, 1.37535E-008,   108.70, 2.23048E-008,    59.67,          0,     0.00,    35.6506,   -78.80,    35.6506,   101.20, 1.37535E-008,   -71.30, 2.23048E-008,  -120.33,          0,     0.00,    35.6506,   101.20
Line.LINE298, 3.95855E-010,   107.10, 2.39996E-010,  -165.96, 2.32831E-010,   180.00,          0,     0.00, 6.64307E-010,   151.19, 3.95855E-010,   -72.90, 2.39996E-010,    14.04, 2.32831E-010,     0.00,          0,     0.00, 6.64307E-010,   -28.81
Line.LINE299,    172.671,   -79.12,    177.605,   162.14,    270.474,    42.30,          0,     0.00,    92.3296,    46.47,    172.671,   100.88,    177.605,   -17.86,    270.474,  -137.70,          0,     0.00,    92.3296,  -133.53
Line.LINE2100, 1.97563E-009,  -135.00, 5.45043E-009,   -70.02, 4.65661E-009,    90.00,          0,     0.00, 1.91997E-009,   -75.96, 1.97563E-009,    45.00, 5.45043E-009,   109.98, 4.65661E-009,   -90.00,          0,     0.00, 1.91997E-009,   104.04
Line.LINE2101, 8.7747E-010,   174.29, 2.90645E-009,   145.20, 4.62156E-009,    49.09,          0,     0.00, 5.24386E-009,    92.54, 8.7747E-010,    -5.71, 2.90645E-009,   -34.80, 4.62156E-009,  -130.91,          0,     0.00, 5.24386E-009,   -87.46
Line.LINE2102,    35.6506,   -78.80, 1.16943E-008,    98.88, 1.76577E-008,    61.66,          0,     0.00,    35.6506,   -78.80,    35.6506,   101.20, 1.16943E-008,   -81.12, 1.76577E-008,  -118.34,          0,     0.00,    35.6506,   101.20
Line.LINE2103,    86.2117,   -78.81,    86.0493,   162.01,    115.033,    42.05,          0,     0.00,    27.8397,    43.17,    86.2117,   101.19,    86.0493,   -17.99,    115.033,  -137.95,          0,     0.00,    27.8397,  -136.83
Line.LINE2104,    86.4618,   -79.42,    91.5561,   162.27,    155.443,    42.49,          0,     0.00,    64.5558,    47.89,    86.4618,   100.58,    91.5561,   -17.73,    155.443,  -137.51,          0,     0.00,    64.5558,  -132.11
Line.LINE2105, 2.50766E-009,  -111.80, 3.95812E-009,   -90.00, 5.66501E-009,    80.54,          0,     0.00, 6.98492E-010,   -90.00, 2.50766E-009,    68.20, 3.95812E-009,    90.00, 5.66501E-009,   -99.46,          0,     0.00, 6.98492E-010,    90.00
Line.LINE2106, 1.28057E-009,   -90.00, 2.4668E-009,   160.71, 3.35793E-009,    33.69,          0,     0.00, 1.47255E-009,    71.57, 1.28057E-009,    90.00, 2.4668E-009,   -19.29, 3.35793E-009,  -146.31,          0,     0.00, 1.47255E-009,  -108.43
Line.LINE2107, 1.81843E-009,   -63.38, 3.46646E-010,   -21.95, 8.65931E-010,    65.16,          0,     0.00, 1.78604E-009,   -32.88, 1.81843E-009,   116.62, 3.46646E-010,   158.05, 8.65931E-010,  -114.84,          0,     0.00, 1.78604E-009,   147.12
Line.LINE2108,    35.6506,   -78.80, 1.18686E-008,    99.88, 1.69892E-008,    62.23,          0,     0.00,    35.6506,   -78.80,    35.6506,   101.20, 1.18686E-008,   -80.12, 1.69892E-008,  -117.77,          0,     0.00,    35.6506,   101.20
Line.LINE2109,    86.2117,   -78.81,    86.0493,   162.01,    115.033,    42.05,          0,     0.00,    27.8397,    43.17,    86.2117,   101.19,    86.0493,   -17.99,    115.033,  -137.95,          0,     0.00,    27.8397,  -136.83
Line.LINE2110,    86.4618,   -79.42,    91.5561,   162.27,    155.443,    42.49,          0,     0.00,    64.5558,    47.89,    86.4618,   100.58,    91.5561,   -17.73,    155.443,  -137.51,          0,     0.00,    64.5558,  -132.11
Line.LINE2111, 1.87714E-009,   119.74, 4.00577E-009,  -125.54, 3.35793E-009,    56.31,          0,     0.00, 1.81847E-009,   140.19, 1.87714E-009,   -60.26, 4.00577E-009,    54.46, 3.35793E-009,  -123.69,          0,     0.00, 1.81847E-009,   -39.81
Line.LINE2112, 1.5134E-009,    90.00, 1.91997E-009,   165.96, 5.26836E-009,    45.00,          0,     0.00, 6.00076E-009,    71.92, 1.5134E-009,   -90.00, 1.91997E-009,   -14.04, 5.26836E-009,  -135.00,          0,     0.00, 6.00076E-009,  -108.08
Line.LINE2113, 1.69441E-009,   -49.09, 1.06826E-009,    -6.06, 1.91997E-009,    75.96,          0,     0.00, 2.67896E-009,    10.09, 1.69441E-009,   130.91, 1.06826E-009,   173.94, 1.91997E-009,  -104.04,          0,     0.00, 2.67896E-009,  -169.91
